"product_id";"product_code";"product_name";"product_cost";"product_price";"product_price_usd";"product_currency";"product_photo";"product_cbm";"product_weight";"product_bundle";"product_description";"product_date_created";"product_last_updated";"product_log";"product_labor";"product_overhead"
"1";"AC001LF";"DUNGDUNG LARGE FINISHED";"0";"0";"55,00";"1";"";"0,792";" 180,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"2";"AC001LU";"DUNGDUNG LARGE UNFINISHED";"0";"0";"52,00";"1";"";"0,792";" 180,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"3";"AC001MF";"DUNGDUNG MEDIUM FINISHED";"0";"0";"52,00";"1";"";"0,5";" 150,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"4";"AC001SF";"DUNGDUNG SMALL FINISHED";"0";"0";"52,00";"1";"";"0,45";" 125,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"5";"AC001SU";"DUNGDUNG SMALL UNFINISHED";"0";"0";"49,00";"1";"";"0,45";" 125,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"6";"AC004L";"TEAK VASE LARGE";"0";"0";"30,00";"1";"";"0,068";" 19,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"7";"AC004S";"TEAK VASE SMALL";"0";"0";"20,00";"1";"";"0,05";" 17,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"8";"AC011L";"FRUIT BOWL. LARGE";"0";"0";"18,00";"1";"";"0";"";"1";"";"2016-01-19 15:19:41";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"9";"AC021L";"SQUARE DECO LARGE";"0";"0";"34,00";"1";"";"0,015";" 7,0 ";"1";"";"2016-01-19 15:04:55";"0000-00-00 00:00:00";"insert by admin";"0";"0"
"10";"AC041";"STONE STOOL(PLS PICK 17-20";"0";"0";"160,00";"16000";"ac041_lg.jpg";"0,08";" 100,0 ";"1";"";"2016-01-19 15:04:55";"2016-01-11 13:00:55";"update by admin";"0";"0"
